,skills,sum,frequency,percent
6,ux,7,0.11475409836065574,11.48%
5,usability,5,0.08196721311475409,8.20%
9,грамотная речь,4,0.06557377049180328,6.56%
14,навыки межличностного общения,4,0.06557377049180328,6.56%
3,figma,4,0.06557377049180328,6.56%
4,ui,4,0.06557377049180328,6.56%
7,ux исследования,4,0.06557377049180328,6.56%
8,веб-дизайн,4,0.06557377049180328,6.56%
10,грамотность,4,0.06557377049180328,6.56%
16,подготовка презентаций,4,0.06557377049180328,6.56%
15,общая психология,4,0.06557377049180328,6.56%
2,adobe photoshop,3,0.04918032786885246,4.92%
1,adobe illustrator,3,0.04918032786885246,4.92%
17,проектирование пользовательских интерфейсов,2,0.03278688524590164,3.28%
0,adobe after effect,1,0.01639344262295082,1.64%
13,дизайн интерфейсов,1,0.01639344262295082,1.64%
12,дизайн,1,0.01639344262295082,1.64%
11,графический дизайн,1,0.01639344262295082,1.64%
18,прототипирование,1,0.01639344262295082,1.64%
